[sound:sentence_kannada_1.mp3]	Hi	ಹಾಯ್
[sound:sentence_kannada_2.mp3]	Hey	ನಮಸ್ಕಾರ
[sound:sentence_kannada_3.mp3]	Nice to meet you	ನೀನು ಸಿಕ್ಕಿದ್ದು ಖುಶಿ ಆಯ್ತು
[sound:sentence_kannada_4.mp3]	Excuse me	ಕ್ಷಮಿಸು
[sound:sentence_kannada_5.mp3]	Good morning	ಶುಭೋದಯ / ನಮಸ್ಕಾರ
[sound:sentence_kannada_6.mp3]	How are you?	ಹೇಗಿದ್ದೀಯ?
[sound:sentence_kannada_7.mp3]	I'm fine	ನಾನು ಚೆನ್ನಾಗಿದೀನಿ
[sound:sentence_kannada_8.mp3]	See you	ಸಿಗೋಣ
[sound:sentence_kannada_9.mp3]	Bye	ಬರ್ತೀನಿ
[sound:sentence_kannada_10.mp3]	Thanks	ಥ್ಯಾಂಕ್ಸ್
[sound:sentence_kannada_11.mp3]	Thank you	ಧನ್ಯವಾದಗಳು
[sound:sentence_kannada_12.mp3]	Thank you a lot	ತುಂಬಾ ಥ್ಯಾಂಕ್ಸ್
[sound:sentence_kannada_13.mp3]	You're welcome	ಪರವಾಗಿಲ್ಲ
[sound:sentence_kannada_14.mp3]	Sorry	ಕ್ಷಮಿಸು
[sound:sentence_kannada_15.mp3]	Don't worry	ತೊಂದ್ರೆ ಇಲ್ಲ
[sound:sentence_kannada_16.mp3]	Good night	ಶುಭರಾತ್ರಿ
[sound:sentence_kannada_17.mp3]	What's your name?	ನಿನ್ನ ಹೆಸರು ಏನು?
[sound:sentence_kannada_18.mp3]	What's this thing's name?	ಇದರ ಹೆಸರು ಏನು?
[sound:sentence_kannada_19.mp3]	What is it called?	ಇದಕ್ಕೆ ಏನಂತಾರೆ?
[sound:sentence_kannada_20.mp3]	Where are we going?	ಎಲ್ಲಿಗೆ ಹೋಗ್ತಾ ಇದೀವಿ?
[sound:sentence_kannada_21.mp3]	Kannada is a complicated language	ಕನ್ನಡ ಒಂದು ಕಷ್ಟದ ಭಾಷೆ
[sound:sentence_kannada_22.mp3]	Kannada is a beautiful language	ಕನ್ನಡ ಸೊಗಸಾದ ಭಾಷೆ
[sound:sentence_kannada_23.mp3]	I like you	ನೀನಂದ್ರೆ ನನಗೆ ಇಷ್ಟ
[sound:sentence_kannada_24.mp3]	I like you a lot	ನೀನಂದ್ರೆ ನನಗೆ ತುಂಬಾ ಇಷ್ಟ
