ɐ	ɐː	ಅಡಿ	ಆಡಿ	aḍi	āḍi
ɐ	ɐː	ಮಧ್ಯಮ	ಮಾಧ್ಯಮ	madhyama	mādhyama
ɐ	ɐː	ಪತ್ರ	ಪಾತ್ರ	patra	pātra
end	start	ಅನಕಾ	ಆನಕ	anakā	ānaka
e	eː	ಬೆರೆ	ಬೇರೆ	bere	bēre
i	iː	ಹಿಗೆ	ಹೀಗೆ	hige	hīge
o	oː	ಕೊಡೆ	ಕೋಡೆ	koḍe	kōḍe
u	uː	ಕುಡ	ಕೂಡ	kuḍa	kūḍa
bʱ	b	ಭಾರಿ	ಬಾರಿ	bhāri	bāri
b	bʱ	ಬ	ಭ	ba	bha
b	p	ಬೈ	ಪೈ	bai	pai
b	ʋ	ಬಿಲ್	ವಿಲ್	bil	vil
b	ʋ	ಬೇಗ	ವೇಗ	bēga	vēga
bʱ	ʋ	ಆಭರಣ	ಆವರಣ	ābharaṇa	āvaraṇa
bʱ	p	ಭೂ	ಪೂ	bhū	pū
b.b	p.p	ಕಬ್ಬು	ಕಪ್ಪು	kabbu	kappu
b.b	ʋ	ಇಬ್ಬರು	ಇವರು	ibbaru	ivaru
p	pʰ	ಕಾಪಿ	ಕಾಫಿ	kāpi	kāphi
d̪ʱ	d̪	ಧನ	ದನ	dhana	dana	might be too close to the mic
d̪ʱ	d̪	ಪ್ರಧಾನ	ಪ್ರದಾನ	pradhāna	pradāna
d̪	d͡ʒ	ದಾರಿ	ಜಾರಿ	dāri	jāri
d̪	d͡ʒ	ದೈವಿಕ	ಜೈವಿಕ	daivika	jaivika
d̪	ɖ	ಆದಿ	ಆಡಿ	ādi	āḍi
d̪	ɖ	ಎದೆ	ಎಡೆ	ede	eḍe
d̪	ɖ	ಹಾದಿ	ಹಾಡಿ	hādi	hāḍi
d̪	ʈ	ನದಿ	ನಟಿ	nadi	naṭi
d̪ʱ	d͡ʒ	ಧನ	ಜನ	dhana	jana
g	k	ಗಾಳಿ	ಕಾಳಿ	gāḷi	kāḷi
g	k.k	ಕೆಳಗೆ	ಕೆಳಕ್ಕೆ	keḷage	keḷakke
gʰ	k	ದೀರ್ಘ	ದೀರ್ಕ	dīrgha	dīrka
l	ɭ	ಕೆಲ	ಕೆಳ	kela	keḷa
l	ɭ	ಹುಲಿ	ಹುಳಿ	huli	huḷi
l	ɭ	ಎಲೆ	ಎಳೆ	ele	eḷe
ɭ	ɭː	ಬಳಿ	ಬಳ್ಳಿ	baḷi	baḷḷi
mː	n̪ː	ತಮ್ಮ	ತನ್ನ	tamma	tanna
n̪ː	ɳ	ಅನ್ನು	ಅಣು	annu	aṇu
n̪ː	ɳː	ಅನ್ನ	ಅಣ್ಣ	anna	aṇṇa
r	ɭ	ಅವರು	ಅವಳು	avaru	avaḷu
r	ɭ	ಬರಿ	ಬಳಿ	bari	baḷi
t̪	t̪.t̪	ಹತಿ	ಹತ್ತಿ	hati	hatti
t͡ʃ	t̪	ಚಳಿ	ತಳಿ	caḷi	taḷi
t̪	ʈ	ಆತ	ಆಟ	āta	āṭa
t̪	ʈʰ	ಮತ	ಮಠ	mata	maṭha
t̪	ʈ.ʈ	ಗತಿ	ಗಟ್ಟಿ	gati	gaṭṭi
t̪.t̪	ʈ.ʈ	ಇತ್ತು	ಇಟ್ಟು	ittu	iṭṭu
ʈ	ʈ.ʈ	ಪುಟ	ಪುಟ್ಟ	puṭa	puṭṭa
ʈ	ʈʰ	ಕೋಟಿ	ಕೋಠಿ	kōṭi	kōṭhi
ʈʰ	ʈ.ʈ	ಮಠ	ಮಟ್ಟ	maṭha	maṭṭa
